cohort,persona,policy,loop,median_rank,top1,top3,top10,surfaced_rate,median_realized_bits,median_cumulative_bits
heldout,easygoing,greedy,8,2395.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,9,2748.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,10,690.5,0.0,0.0,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,11,1073.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,12,1000.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,13,1147.5,0.0,0.0,0.08333333333333333,0.08333333333333333,,
heldout,easygoing,greedy,14,872.5,0.0,0.08333333333333333,0.16666666666666666,0.25,,
heldout,easygoing,greedy,15,960.0,0.0,0.08333333333333333,0.16666666666666666,0.25,,
heldout,easygoing,passive,1,1390.5,0.0,0.0,0.0,0.0,0.003700167295,0.003700167295
heldout,easygoing,passive,2,1321.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.001587518214,0.00528768551
heldout,easygoing,passive,3,1220.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0006595479506,0.00594723346
heldout,easygoing,passive,4,1139.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,7.343942674e-06,0.005954577403
heldout,easygoing,passive,5,793.5,0.0,0.0,0.0,0.08333333333333333,0.002354470268,0.008309047671
heldout,easygoing,passive,6,1832.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.0001592298357,0.008149817835
heldout,easygoing,passive,7,2648.5,0.0,0.0,0.0,0.08333333333333333,7.383017295e-05,0.008223648008
heldout,easygoing,passive,8,1302.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.000510383192,0.0087340312
heldout,easygoing,passive,9,2049.0,0.0,0.0,0.0,0.08333333333333333,2.742308502e-05,0.008761454285
heldout,easygoing,passive,10,620.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.00026632656,0.009027780845
heldout,easygoing,passive,11,1282.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.0001149330254,0.00891284782
heldout,easygoing,passive,12,1462.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.000660329275,0.009573177095
heldout,easygoing,passive,13,539.0,0.0,0.0,0.08333333333333333,0.08333333333333333,9.839070545e-05,0.0096715678
heldout,easygoing,passive,14,498.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0003652587947,0.01003682659
heldout,easygoing,passive,15,300.5,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0002374361213,0.01027426272
heldout,easygoing,targeted,1,2524.0,0.0,0.0,0.0,0.0,0.00803431856,0.00803431856
heldout,easygoing,targeted,2,2352.5,0.0,0.0,0.0,0.0,0.0004294641847,0.008463782745
heldout,easygoing,targeted,3,1047.5,0.0,0.0,0.0,0.0,0.0006257088064,0.009089491551
heldout,easygoing,targeted,4,727.5,0.0,0.0,0.0,0.0,0.002200201764,0.01128969332
heldout,easygoing,targeted,5,1245.5,0.0,0.0,0.08333333333333333,0.08333333333333333,-0.001071553303,0.01021814001
heldout,easygoing,targeted,6,1360.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0005045864197,0.01072272643
heldout,easygoing,targeted,7,812.0,0.0,0.0,0.0,0.08333333333333333,0.0004467275348,0.01116945397
heldout,easygoing,targeted,8,1312.0,0.0,0.0,0.0,0.08333333333333333,3.167110621e-05,0.01120112507
heldout,easygoing,targeted,9,1647.0,0.0,0.0,0.0,0.08333333333333333,0.0003672813825,0.01156840646
heldout,easygoing,targeted,10,1251.5,0.0,0.0,0.08333333333333333,0.16666666666666666,0.00100626185,0.0125746683
heldout,easygoing,targeted,11,1017.5,0.0,0.0,0.0,0.16666666666666666,0.001336778613,0.01391144692
heldout,easygoing,targeted,12,1124.0,0.0,0.0,0.0,0.16666666666666666,0.0006329178839,0.0145443648
heldout,easygoing,targeted,13,1575.0,0.0,0.0,0.0,0.16666666666666666,0.001537675177,0.01608203998
heldout,easygoing,targeted,14,1607.0,0.0,0.0,0.0,0.16666666666666666,0.0004557389162,0.01653777889
heldout,easygoing,targeted,15,1424.0,0.0,0.0,0.0,0.16666666666666666,0.00011308392,0.01665086281
heldout,picky,active,1,2524.0,0.0,0.0,0.0,0.0,0.00803431856,0.00803431856
heldout,picky,active,2,775.5,0.0,0.0,0.0,0.0,0.002041121165,0.01007543973
heldout,picky,active,3,1078.0,0.0,0.0,0.0,0.0,0.000337688127,0.01041312785
heldout,picky,active,4,811.0,0.0,0.0,0.0,0.0,0.0009307083167,0.01134383617
heldout,picky,active,5,899.0,0.0,0.0,0.0,0.0,-0.0006333205174,0.01071051565
heldout,picky,active,6,1202.0,0.0,0.0,0.0,0.0,0.0002181626134,0.01092867827
heldout,picky,active,7,1886.0,0.0,0.0,0.0,0.0,0.0002034031584,0.01113208142
heldout,picky,active,8,2006.5,0.0,0.0,0.0,0.0,0.0001892158515,0.01132129728
heldout,picky,active,9,1993.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0007742329745,0.01209553025
heldout,picky,active,10,2260.5,0.0,0.0,0.0,0.08333333333333333,0.0002905269479,0.0123860572
heldout,picky,active,11,1930.5,0.0,0.0,0.0,0.08333333333333333,0.0007607118162,0.01314676901
heldout,picky,active,12,1936.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.001847755185,0.0149945242
heldout,picky,active,13,1894.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.000831812211,0.01582633641
heldout,picky,active,14,1797.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0008037276646,0.01663006407
heldout,picky,active,15,1690.5,0.0,0.0,0.0,0.16666666666666666,0.000571596267,0.01720166034
heldout,picky,greedy,1,1942.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,2,2129.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,3,3290.0,0.0,0.0,0.08333333333333333,0.08333333333333333,,
